scope,feature,component,loading,region,tenor_years,abs_loading
Global,US_10Y,PC4,0.0007262725673411349,US,10,0.0007262725673411349
Global,US_20Y,PC4,0.12973630588331983,US,20,0.12973630588331983
Global,US_30Y,PC4,0.16711458780988628,US,30,0.16711458780988628
Global,EA_2Y,PC4,-0.2721850523650417,EA,2,0.2721850523650417
Global,EA_5Y,PC4,-0.17408967111881052,EA,5,0.17408967111881052
Global,EA_10Y,PC4,0.02856847400389812,EA,10,0.02856847400389812
Global,EA_20Y,PC4,0.21450568379261772,EA,20,0.21450568379261772
Global,EA_30Y,PC4,0.25804542554866355,EA,30,0.25804542554866355
Global,JP_2Y,PC4,-0.44322370201076206,JP,2,0.44322370201076206
Global,JP_5Y,PC4,-0.28886753615367006,JP,5,0.28886753615367006
Global,JP_10Y,PC4,-0.012196976899846272,JP,10,0.012196976899846272
Global,JP_20Y,PC4,0.335355006684983,JP,20,0.335355006684983
Global,JP_30Y,PC4,0.44409709318586776,JP,30,0.44409709318586776
Global,US_2Y,PC5,-0.24809939396995803,US,2,0.24809939396995803
Global,US_5Y,PC5,-0.11996432345560032,US,5,0.11996432345560032
Global,US_10Y,PC5,0.030693605962499936,US,10,0.030693605962499936
Global,US_20Y,PC5,0.12213460716119502,US,20,0.12213460716119502
Global,US_30Y,PC5,0.15704982563517564,US,30,0.15704982563517564
Global,EA_2Y,PC5,-0.42814423070282664,EA,2,0.42814423070282664
Global,EA_5Y,PC5,-0.23423472092340797,EA,5,0.23423472092340797
Global,EA_10Y,PC5,0.022465429952098954,EA,10,0.022465429952098954
Global,EA_20Y,PC5,0.3002083405865625,EA,20,0.3002083405865625
Global,EA_30Y,PC5,0.4110043618136605,EA,30,0.4110043618136605
Global,JP_2Y,PC5,0.35165308759058245,JP,2,0.35165308759058245
Global,JP_5Y,PC5,0.21899907639164048,JP,5,0.21899907639164048
Global,JP_10Y,PC5,0.03437078281224981,JP,10,0.03437078281224981
Global,JP_20Y,PC5,-0.28728336304926916,JP,20,0.28728336304926916
Global,JP_30Y,PC5,-0.3612068077916405,JP,30,0.3612068077916405
